Name;Calories;Protein;Fat;Carbohydrate;Group
Chałka;252;5.8;4.4;47;
Chałwa;531;8;31;55;
Cheeseburger McDonald;278;12.6;11.8;30.3;
Chipsy paprykowe;586;6;40;50.4;
Cherry Brandy, alkohol;265;0;0;32.4;
Chleb chrupki;372;8.7;2.4;78.9;
Chleb pszenno-żytni;203;4.6;1.1;43.7;
Chleb pszenny razowy;198;6.5;1.3;40;
Chleb pszenny zwykły;217;5.8;1.1;45.9;
Chleb pumpernikiel;241;4.9;1.7;51.1;
Chleb żytni razowy;196;4.7;1.2;41.5;
Chleb żytni zwykły;194;3.2;0.9;43.4;
Chrupki kukurydziane;378;8.9;3;78.9;
Coca Cola, napój;42;0;0;10.4;
Coca Cola light, napój;0.24;0;0;0;
Cukier;399;0;0;99.8;
Cukierki owocowe;374;0.3;0.5;92;
Cukinia;18;1;0.2;3;
Curacao, likier;319;0;0;27.6;
Cykoria;25;1.7;0.2;4.1;
Cytryna;46;0.8;0.5;9.5;
Czarne jagody;61;1.1;0.9;12.2;
Czekolada biała;544;4.5;30.3;63.2;
Czekolada deserowa;537;5.3;28.9;64;
Czekolada gorzka;505;8.2;34.9;38.7;
Czekolada mleczna;526;8;30.7;54.2;
Czekolada nadziewana;449;3.9;17.6;68.8;
Czekolada z orzechami;547;7.6;33.9;52.7;
Czekoladka Kinder Niespodzianka;560;9.5;35.3;51.5;
Czekoladki Ferrero Rocher;562;9;40.2;41;
Czekoladki Golden Nut;576;6;39;50.2;
Czekoladki Mon Cheri;421;3.2;19.7;57.8;
Czekoladki Raffaello;600;9.7;46.6;35.4;
Czekoladki Toffifee;535;6;31;58;
Czereśnie;55;1;0.5;11.6;
Czosnek;144;6.2;0.5;28.8;
Daktyle suszone ;316;2.2;0.6;75.4;
Danonki, jogurt do picia;87;2.8;1.6;15.4;
Delicje, ciastka;376;3.5;8.4;71.5;
Delma, margaryna;496;0;55;0.2;
Deser czekoladowy Monte;195;2.8;13.3;15.9;
Dorsz świeży;69;16.5;0.3;0;
Dorsz wędzony;93;22.1;0.5;0;
Drażetki Tic Tac;390;0;0;97.5;
Drożdże piekarskie;132;11.3;2;14.5;
Drożdżówka;321;6;9;50;
Dynia;39;1.3;0.3;7.7;
Dynia, pestki;582;24.5;45.8;18;
Dżem niskosłodzony;163;0.5;0;63;
Dżem wysokosłodzony;257;0.5;0.2;63.4;
Eklerka, ciastko ;301;5;9;50;
Endywia;17;1.8;0.6;1;
Familijne, wafle;533;7.1;29.6;59.5;
Fasola biała, konserwa;87;4.5;0.2;16.7;
Fasola biała, ziarno suche ;346;21.4;1.6;61.6;
Fasola czerwona Red Kidney, konserwa;104;6.9;0.6;17.8;
Fasola szparagowa;42;2.4;0.2;7.6;
Fasola szparagowa, konserwa;26;1.5;0.2;4.5;
Fasolka po bretońsku;158;6.1;8.7;13.7;
Ferrero Rocher, czekoladki;562;9;40.2;41;
Figi suszone;300;4;1.2;68.4;
Flaki wołowe, suche;84;16;2.2;0;
Flaki wołowe na rosole;71;4.6;4.2;3.7;
Flądra świeża;84;16.5;1.8;0;
Flora, margaryna;328;0.1;35;3.2;
Frytki mrożone;172;2.5;5.5;28;
Frytki z frytownicy;252;3;12;33;
Frytki z piekarnika;231;3.5;5;37;
Galaretka pomarańczowa;59;2.8;0;12;
Gęś tuszka;343;14.1;31.8;0;
Gin;225;0;0;0;
Golden Nut, czekoladki;576;6;39;50.2;
Golonka ze skórą wieprzowa;297;18.6;24.7;0;
Gołąbki w sosie pomidorowym;116;3.8;6.7;10;
Granat;65;2.4;0.4;13.2;
Grejfrut;43;0.6;0.2;9.8;
Groch, suche ziarno;349;23.8;1.4;60.4;
Groszek zielony;98;6.7;0.4;17;
Groszek zielony, konserwa;83;4.5;0.2;15.8;
Gruszka;62;0.6;0.2;14.4;
Gruszka suszona;329;0.7;0.5;80.4;
Grześki, wafel;550;8.5;34.5;51.5;
Halibut świeży;121;18.6;5.2;0;
Hamburger;268;11.4;9.5;34.3;
Hamburger Big Mac McDonald;273;11.4;15.1;22.8;
Hamburger McChicken McDonald;295;9.7;15.9;28.3;
Herbata;0;0.1;0;0;
Herbatniki;439;8.2;11;76.8;
Homary;85;18.8;0.9;0.5;
Indyk, piersi bez skóry;109;21.3;2.6;0;
Indyk, skrzydło bez skóry;169;16.5;11.4;0;
Indyk, udo bez skóry;118;19.5;4.4;0;
Irysy, cukierki;418;4.3;10.7;76.1;
Jabłko;57;0.6;0.7;12.1;
Jabłko suszone;332;1.5;1.1;78.9;
Jagodzianka, ciastko;322;7.1;5.5;61.1;
Jaja sadzone;181;10.1;15.2;0.9;
Jajecznica;131;10;9.7;0.8;
Jajo kurze, białko;46;10.8;0;0.8;
Jajo kurze, całe;150;12.5;10.7;1;
Jajo kurze, żółtko;355;16.3;31.9;0.7;
Jagnięcina;126;20.4;4.9;0;
Jagody;61;1.1;0.9;12.2;
Jałowcówka, wódka;225;0;0;0;
Jarmuż;29;3.3;0.7;6.1;
Jeżyki, ciastka;457;5;21.3;61.2;
Jeżyny;71;1.2;0.4;15.7;
Jogurt do picia Danonki;87;2.8;1.6;15.4;
Jogurt naturalny 0% tłuszczu;42;4.2;0;6.2;
Jogurt naturalny 2% tłuszczu;60;4.3;2;6.2;
Jogurt owocowy 1,5% tłuszczu;84;3.9;1.5;13.7;
Jogurt owocowy 2,7% tłuszczu;99;3.3;2.7;15.3;
Kabaczek;31;1;0.1;6.5;
Kabanosy;319;28;23;0;
Kaczka tuszka;311;13.5;28.6;0;
Kaczka dzika tuszka;121;22.7;3.1;0.5;
Kakao 16% tłuszczu, proszek;425;18.2;15.8;52.6;
Kakao Nesquik, proszek;380;3.5;3;84.3;
Kalafior;31;2.4;0.2;5;
Kalarepa;33;1.7;0.1;6.2;
Kapusta biała;38;1.7;0.2;7.4;
Kapusta czerwona;45;1.9;0.2;9;
Kapusta kiszona;20;1.1;0.2;3.4;
Kapusta włoska;50;3.3;0.6;7.8;
Karczochy;57;3.3;0.2;10.5;
Karkówka wieprzowa;270;16.1;22.8;0;
Karp świeży;122;17.8;5.6;0;
Kaszanka;274;9;19.5;14.5;
Kasza gryczana;359;12;3;70;
Kasza jaglana;355;10.5;2.9;71.6;
Kasza jęczmienna;358;8;2;74;
Kasza jęczmienna pęczak;381;7.9;1.7;83.6;
Kasza kuskus;358;13;2;72;
Kasza manna;353;8.7;1.3;76.7;
Kawa bez cukru;2;0.2;0;0.3;
Kawior;250;24;18;4;
Kefir 2% tłuszczu;44;2.6;2;3.8;
Keks bakaliowy;401;6.4;17.8;53.8;
Ketchup;113;1.1;0.3;26.5;
Kinder Niespodzianka, czekoladka;560;9.5;35.3;51.5;
KFC, kurczak Hot Wings;318;17.4;20.8;15.3;
KFC, Twister;266;10.7;15.1;21.9;
Kiełbasa krakowska parzona;168;20.1;9.7;0;
Kiełbasa krakowska sucha;326;25.6;24.8;0;
Kiełbasa mielona;206;17;14.2;2.6;
Kiełbasa mortadela;207;12;17.7;;
Kiełbasa myśliwska;395;23;33.5;0;
Kiełbasa parówkowa;334;11.3;32;0.1;
Kiełbasa podwawelska;249;17.3;19.6;0.9;
Kiełbasa szynkowa;162;18;10;0;
Kiełbasa szynkowa z indyka;89;17.2;2;0.2;
Kiełbasa szynkowa z kurczaka;111;16.2;5;0;
Kiełbasa toruńska;265;20.9;20.1;0;
Kiełbasa zwyczajna;199;18.6;13.8;0.1;
Kiełbasa żywiecka;318;20.3;26.3;0;
Kiełki fasoli, konserwa, odsączone;15;1.4;0.1;2.1;
Kinder Bueno, wafel;532;5.5;35.5;47.6;
Kisiel;103;0.3;0.1;25.3;
Kiszka pasztetowa;387;12.5;35.7;4.3;
Kiwi;64;0.9;0.5;13.9;
Kiszone ogórki;12;0.7;0.2;1.9;
Kluski śląskie;155;2;0.1;36.6;
Knoppers, baton;528;8;32;52;
Kompot owocowy;69;0.2;0.1;16.9;
Koncentrat pomidorowy 30%;107;5.6;2;16.7;
Konina, mięso bez kości;108;21.5;2.5;0;
Kopytka ziemniaczane mrożone;169;2.2;0.8;38.2;
Kotlet schabowy panierowany;357;19;24.1;15.9;
Krem czekoladowy Nutella;533;6.5;31;57;
Krewetki;86;18.1;0.8;1.5;
Królik tuszka;156;21;8;0;
Kubuś Multiwitamina, napój;48;0.3;0.1;11.5;
Kukurydza, konserwa;94;2.9;1.2;17.8;
Kukurydza ziarno;145;3.7;1.5;29.1;
Kura tuszka;203;18.5;14.3;0;
Kurczak Hot Wings KFC;318;17.4;20.8;15.3;
Kurczak, piersi bez skóry;100;21.5;1.3;0;
Kurczak, piersi ze skórą;155;19.3;8.6;0;
Kurczak tuszka;158;18.6;9.3;0;
Kurczak, udo bez skóry;125;17.8;6;0;
Kurczak, udo ze skórą;161;17.8;10;0;
Kurka świeża, grzyb;23;1;0.4;3.8;
Kuropatwa tuszka;112;24.3;1.4;0.5;
Landrynki Brando;390;0;0;96.6;
Likier Advocat;280;4.4;6;28.4;
Likier Curacao;319;0;0;27.6;
Lody bakaliowe;133;2.2;7.2;14.6;
Lody czekoladowe;128;2.1;6.1;16.1;
Lody orzechowe;135;2.4;8;13.4;
Lody owocowe;114;1.5;5.3;15;
Lody śmietankowe;135;1.7;7.6;15.2;
Lody waniliowe;120;1.8;6.5;13.6;
Łopatka barania;287;15.6;25;0;
Łopatka cielęca;105;19.9;2.8;0;
Łopatka wieprzowa;259;16;21.7;0;
Łosoś świeży;202;19.9;13.6;0;
Łosoś wędzony;176;20.5;9.5;1.5;
Majonez;732;1.1;79;4.2;
Maggi, przyprawa do zup;17;2.7;0;1.5;
Mak;542;19.5;40.8;24.3;
Makowiec;348;7;16;44;
Makaron bezjajeczny;368;10;1.6;78.5;
Makaron bezjajeczny z pszenicy durum;375;12.8;1.7;77.2;
Makaron czterojajeczny;383;12;3.4;76.2;
Makaron dwujajeczny;364;12;3.1;72;
Makrela wędzona;222;22.7;15.5;0;
Maliny;63;1.7;0.9;12;
Mandarynka;34;0.5;0.2;7.5;
Mango;73;0.5;0.3;17;
Marakuja ;34;2.8;0.2;6.2;
Marchew;41;1;0.2;8.7;
Margaryna Benecol;540;0;60;0;
Margaryna Delma;496;0;55;0.2;
Margaryna Flora;328;0.1;35;3.2;
Margaryna mleczna;738;0;82;0;
Margaryna Pani Domu;360;0;40;0;
Margaryna Rama Classic;631;0;70;0.2;
Margaryna Vita;360;0;40;0;
Markizy, ciastka;487;5.6;23;64.3;
Mars, baton;454;3.6;18.2;68.9;
Masło ekstra;748;0.7;82.5;0.7;
Masło roślinne;747;0;83;0;
Masło śmietankowe;670;1.1;73.5;1.1;
Maślanka 0,5% tłuszczu;34;3.3;0.5;4;
Mączka ziemniaczana;339;0.6;0.1;83.9;
Mąka pszenna 500;347;9.2;1.2;74.9;
Mąka pszenna 550;348;9.4;1.6;74.1;
Melon;16;0.4;0.1;3.4;
Metka;419;15;31;20;
Mielonka;206;17;14;2.5;
Migdały;640;18.5;54;19.5;
Milky Way, baton;447;3.6;16.2;71.8;
Mintaj świeży;72;16.6;0.6;0;
Miód pszczeli;319;0.3;0;79.5;
Mirinda, napój;52;0;0;12.9;
Mleko 0% tłuszczu;33;3.4;0;4.8;
Mleko 0,5% tłuszczu;36;3.2;0.5;4.7;
Mleko 2% tłuszczu;47;3;2;4.3;
Mleko 3,2% tłuszczu;58;3;3.2;4.3;
Mleko jogurtowe Actimel;88;2.7;1.5;16;
Mleko kozie;72;3.3;4.5;4.6;
Mleko owcze;107;6.1;6.9;5.1;
Mleko w proszku pełne;479;27;24;38.7;
Mleko zagęszczone niesłodzone;132;6.6;7.5;9.4;
Mleko zagęszczone słodzone;323;7.5;8;55.3;
Monte, deser czekoladowy;195;2.8;13.3;15.9;
Morele ;52;0.7;0.2;11.9;
Morele suszone;308;4.5;0;72;
Morlinki, parówki dla dzieci;223;12.4;19.1;0.4;
Morszczuk świeży;89;17.2;2.2;0;
Morwa;48;1.4;0.4;9.8;
Muesli;370;9.1;6.8;68.1;
Musztarda;168;5.7;6.4;22;
Napoleonka, ciastko;324;5;16;39.8;
Napój Coca Cola;42;0;0;10.4;
Napój Coca Cola light;0.24;0;0;0;
Napój Kubuś Multiwitamina;48;0.3;0.1;11.5;
Napój Mirinda;52;0;0;12.9;
Napój Pepsi Cola;42;0;0;10.4;
Napój Pepsi Cola light;0.24;0;0;0;
Napój Red Bull;45;0;0;11.3;
Napój Sprite;42;0;0;10.5;
Nektar owocowy;63;0.2;0.4;14.6;
Nektarynka;53;0.9;0.2;11.8;
Nesquik, kakao, proszek;380;3.5;3;84.3;
Nestle Corn Flakes, płatki kukurydziane;370;7.3;0.8;83.3;
Nestle Lion, baton;491;7.4;22.7;64.1;
Nogi wieprzowe;276;23;20.4;0;
Nutella, krem czekoladowy;533;6.5;31;57;
Ocet winny;20;0;0;5;
Ogórek;15;0.7;0.1;2.9;
Ogórek kiszony;12;0.7;0.2;1.9;
Olej kukurydziany;900;0;100;0;
Olej lniany;900;0;100;0;
Olej rzepakowy;900;0;100;0;
Olej słonecznikowy;900;0;100;0;
Olej sojowy;900;0;100;0;
Oliwa z oliwek;897;0;99.6;0.2;
Oliwki;147;1.4;13.9;4.1;
Orzechy arachidowe;595;25.7;46.1;19.2;
Orzechy laskowe;695;14.4;65.9;11;
Orzechy nerkowca;638;17;54;24;
Orzechy pistacjowe;618;20.8;51.6;17.5;
Orzechy włoskie;679;16;60.3;18;
Orzeszki ziemne;634;26;53;13.3;
Ostrygi;85;5;5;5;
Otręby pszenne;183;16;4.6;61.9;
Ozory cielęce;106;17.1;4.2;0;
Ozory wieprzowe;166;16.5;11.1;0;
Paluszki;384;9.9;4.9;75.2;
Pani Domu, margaryna;360;0;40;0;
Papaja;43;0.6;0.1;9.8;
Papryka czerwona;35;1.2;0.3;6.9;
Papryka konserwowa;37;0.8;1.5;5;
Paprykarz Szczeciński;181;9.9;11.9;8.6;
Parówki dla dzieci Morlinki;223;12.4;19.1;0.4;
Parówki popularne;347;9.5;34.3;0;
Parówki z kurczaka;262;10.8;22.4;4.2;
Pasternak;80;1.2;0.3;18;
Pasztet popularny;405;13.2;38.2;2;
Pasztet z drobiu;270;9.6;23.8;4.4;
Pączki;376;6;16;52;
Pepsi Cola, napój;42;0;0;10.4;
Pepsi Cola light, napój;0.24;0;0;0;
Pestki dyni;596;29;46.7;15;
Pędy bambusa;34;2.6;0.3;5.2;
Pędy bambusa, konserwa, odsączone;23;1.7;0.4;3.2;
Pieczarka suszona;331;19.1;2.1;49.3;
Pieczarka świeża;24;2.6;0.4;2.5;
Pieczywo chrupkie pszenne Wasa;360;12;2.2;73;
Pierogi leniwe mrożone;157;7.3;0.8;30.2;
Pierogi ruskie mrożone;215;7.2;3.8;37.9;
Pierogi z kapustą i grzybami mrożone;209;5;5.7;34.5;
Pierogi z mięsem mrożone;255;10.5;8.2;34.8;
Pierogi z serem mrożone;198;10.9;1;36.4;
Pierogi z truskawkami mrożone;194;4.3;0.8;42.4;
Piernik czekoladowy;317;4.9;11.8;74.3;
Piersi bez skóry indycze;109;21.3;2.6;0;
Piersi bez skóry z kurczaka;100;21.5;1.3;0;
Piersi ze skórą z kurczaka;155;19.3;8.6;0;
Pietruszka korzeń;83;2.6;0.5;17.1;
Pietruszka liście ;60;3.7;1;9;
Pikling;216;21.8;14.3;0;
Piwo bezalkoholowe;27;0.2;0;5.2;
Piwo ciemne pełne;42;0.4;0;4.6;
Piwo jasne mocne;64;7;0;5.4;
Piwo jasne pełne;49;0.5;0;3.8;
Pizza z pieczarkami i cebulą;296;12;13.3;32.1;
Pizza z szynką;223;9.8;2.5;40.2;
Planta, tłuszcz roślinny;900;0;100;0;
Płatki jęczmienne;389;9.8;3.6;79.4;
Płatki kukurydziane;385;6.9;2.5;83.6;
Płatki kukurydziane Nestle Corn Flakes ;370;7.3;0.8;83.3;
Płatki owsiane;390;11.9;7.2;69.3;
Płatki pszenne;387;9;3;81;
Płatki żytnie;385;6.4;3.2;82.6;
Polędwica wołowa ;112;20.1;3.5;0;
Pomidor;29;0.9;0.5;5.2;
Por;47;1.7;0.1;9.9;
Pomarańcza;51;0.9;0.2;11.3;
Popcorn bez tłuszczu;397;12;4.2;77.9;
Popcorn z tłuszczem;518;9;28.1;57.1;
Porzeczki białe;63;0.4;0.4;14.5;
Porzeczki czarne;84;1.5;0.9;17.4;
Porzeczki czerwone;64;1.3;0.4;13.8;
Powidła śliwkowe;218;1;0.2;53;
Poziomki;41;0.8;0.5;8.3;
Precelki;385;9.1;3.5;79.5;
Prince Polo, wafel;534;4.8;31.5;57.5;
Princessa, wafel ;562;4.1;34.6;58.4;
Przyprawa do zup Maggi;17;2.7;0;1.5;
Pstrąg świeży;96;19.2;2.1;0;
Ptyś z bitą śmietaną, ciastko;352;5.4;25.2;25.8;
Pyzy z mięsem mrożone;169;5.2;4.9;26.2;
Pyzy ziemniaczane mrożone;140;1.7;0.5;32.2;
Rabarabar;18;0.5;0.1;3.8;
Raffaello, czekoladki;600;9.7;46.6;35.4;
Rama Classic, margaryna;631;0;70;0.2;
Red Bull, napój;45;0;0;11.3;
Rodzynki;298;2.3;0.5;71.2;
Rostbef wołowy;152;21.5;7.3;0;
Rozbratel wołowy;158;16.7;10.1;0;
Ryż biały;349;6.7;0.7;78.9;
Ryż brązowy ;353;7.1;1.9;76.8;
Ryż dziki amerykański;351;13.8;0.4;73;
Ryż preparowany;376;6.3;1.6;84.1;
Rzeżucha;15;2.3;0.1;1.3;
Rzodkiewka;21;0.8;0.4;3.6;
Salceson czarny;340;12.6;32;0.5;
Salceson włoski;322;14.6;29.3;0;
Sałata;20;1.4;0.3;2.9;
Sandacz świeży;80;18.3;0.3;0.9;
Sardynki w oleju, konserwa;202;24;11.5;0;
Sardynki w sosie pomidorowym, konserwa;163;17;9.9;1.4;
Sarnina;102;20.8;1.9;0.4;
Schab surowy wieprzowy ;174;21;10;0;
Schab wędzony;136;25;4;0;
Seler korzeń;61;1.3;0.2;13.6;
Ser Feta;216;17;16;1;
Ser pleśniowy Brie pełnotłusty;293;18;24.5;0;
Ser pleśniowy Rokpol pełnotłusty;354;22.6;29.3;0;
Ser podpuszczkowy Brie pełnotłusty;332;19.8;28;0.2;
Ser podpuszczkowy Camembert tłusty;263;19.3;19.8;1.9;
Ser podpuszczkowy Cheddar pełnotłusty;382;27.1;29.3;2.5;
Ser podpuszczkowy Ementaler pełnotłusty;383;28.8;29.7;0.1;
Ser podpuszczkowy Ementaler tłusty;330;28.8;23.2;1.5;
Ser podpuszczkowy Gouda tłusty;314;27.9;22;1;
Ser podpuszczkowy Mozarella tłusty;224;20;16;0;
Ser podpuszczkowy Myśliwski pełnotłusty;349;25.5;27.4;0.1;
Ser podpuszczkowy Parmezan;408;35.1;29.7;0.1;
Ser podpuszczkowy Salami pełnotłusty;354;25.2;28.1;0.1;
Ser podpuszczkowy Salami tłusty;329;29.5;22.1;3.1;
Ser podpuszczkowy Tylżycki pełnotłusty;356;26.1;27.9;0.1;
Ser podpuszczkowy Tylżycki tłusty;327;27.8;23;2.1;
Ser topiony tłusty;222;18;16;1.6;
Ser twarogowy chudy;98;19.8;0.5;3.5;
Ser twarogowy półtłusty;132;18.7;4.7;3.7;
Ser twarogowy pełnotłusty;176;17.7;10.1;3.5;
Serca wieprzowe;111;16.9;4.8;0;
Serdelki drobiowe;239;13.9;19.5;1.9;
Serek Fromage naturalny ;384;10.2;37.1;2.4;
Serek homogenizowany truskawkowy;167;15.3;3.9;17.7;
Serek homogenizowany waniliowy;158;16.8;4.2;13.3;
Serek twarogowy ziarnisty;101;12.3;4.3;3.3;
Sernik;273;10;9;38;
Sernik z rodzynkami, ciasto;342;14.6;13.9;39.6;
Serwatka płynna;25;0.8;0.1;5.1;
Sezamki;511;13.4;25.8;56.2;
Skrobia kukurydziana;367;0.3;0.1;91.3;
Skrzydło bez skóry indycze;169;16.5;11.4;0;
Słonecznik ziarno;580;22.5;49;12.3;
Słonina;811;2.4;89;0;
Smalec;896;0;99.5;0;
Snickers, baton;509;9.7;28.9;52.6;
Soczewica, suche ziarno;347;25;1;59.5;
Soja, suche ziarno;442;34.9;18.1;34.8;
Sola świeża;83;17.5;1.4;0;
Sok ananasowy;48;0.3;0.1;11.4;
Sok grejfrutowy;35;0.6;0.2;7.8;
Sok jabłkowy;45;0.4;0.4;10;
Sok marchwiowy;48;0.4;0.1;11.3;
Sok pomarańczowy;45;0.5;0.1;10.5;
Sok pomidorowy;19;0.8;0.6;2.6;
Sok z czarnej porzeczki;45;0.3;0.3;10.2;
Sprite, napój;42;0;0;10.5;
Syrop truskawkowy;262;0.2;0,1;62;
Szampan półsłodki;97;0.2;0;7;
Szampan półwytrawny;83;0.1;0;3.4;
Szampan słodki;117;0.2;0;12;
Szczaw;39;1.1;0.8;3.9;
Szczupak świeży;81;18.4;0.8;0;
Szczypiorek;39;4.1;0.8;3.9;
Szparagi;24;1.9;0.2;3.7;
Szpinak;26;2.6;0.4;3;
Szponder wołowy;218;19.3;15.7;0;
Szprot wędzony;243;19.3;18.3;0;
Szynka surowa wieprzowa;264;18;21.3;0;
Szynka wędzona gotowana;389;23;33;0;
Śmietana 12% tłuszczu;134;2.7;12;3.9;
Śmietana 18% tłuszczu;186;2.5;18;3.6;
Śmietanka do kawy 9% tłuszczu ;54;2.8;9;4;
Śmietanka kremowa 30% tłuszczu ;291;2.2;30;3.1;
Śledź solony;218;19.8;15.4;0;
Śledź świeży;162;16.3;10.7;0;
Śledź w oleju, konserwa;343;19.7;29.4;0;
Śledź w pomidorach, konserwa;177;13.7;12.8;1.8;
Śliwki;70;1;0.3;15.9;
Śliwki suszone;311;4.9;0.9;70.8;
Teatralny, wafel ;546;8;31;58;
Tic Tac, drażetki;390;0;0;97.5;
Tłuszcz roślinny Planta;900;0;100;0;
Toffifee, czekoladka;535;6;31;58;
Tran ;900;0;100;0;
Truskawki;36;0.7;0.5;7.2;
Tuńczyk świeży;97;22;1;0;
Tuńczyk w oleju, konserwa;189;27.1;9;0;
Twix, baton;487;5.3;23.2;64.2;
Udo bez skóry z kurczaka;125;17.8;6;0;
Udo ze skórą z kurczaka;161;17.8;10;0;
Udziec barani;234;18;18;0;
Udziec cielęcy;108;19.9;3.1;0;
Wafel Familijne;533;7.1;29.6;59.5;
Wafel Grześki;550;8.5;34.5;51.2;
Wafel Kinder Bueno;532;5.5;35.5;47.6;
Wafel Prince Polo;534;4.8;31.5;57.5;
Wafel Princessa;562;4.1;34.6;58.4;
Wafel Teatralny;546;8;31;58;
Wasa, pieczywo chrupkie pszenne;360;12;2.2;73;
Wątroba drobiowa;136;19.1;6.3;0.6;
Wątroba wieprzowa;129;19.7;4.8;1.7;
Wątroba wołowa;124;20;3.1;4;
Wermut, wino;104;0;0;7.9;
Węgorz świeży;281;12.7;25.6;0;
Węgorz wędzony;329;17.9;28.6;0;
Whisky;225;0;0;0;
Wieprzowina, boczek;517;10.1;53;0;
Wieprzowina, golonka ze skórą;297;18.6;24.7;0;
Wieprzowina, karkówka;270;16.1;22.8;0;
Wieprzowina, łopatka;259;16;21.7;0;
Wieprzowina, mięso bez kości, średnio;264;18;21.3;0;
Wieprzowina, mięso z kością, średnio;329;15.4;29.7;0;
Wieprzowina, schab surowy;174;21;10;0;
Wieprzowina, szynka surowa;264;18;21.3;0;
Wieprzowina, żeberka;324;15.2;29.3;0;
Wino białe półsłodkie;92;0;0;4.4;
Wino białe półwytrawne;78;0;0;3.7;
Wino białe wytrawne ;73;0;0;2.4;
Wino czerwone półsłodkie;96;0;0;5.5;
Wino czerwone słodkie;106;0.1;0;8.2;
Wino czerwone wytrawne;75;0;0;3;
Winogrona;74;0.5;0.2;17.6;
Wiórki kokosowe;606;5.6;62;6.4;
Wiśnie;67;1.2;0.4;14.6;
Wołowina, mięso bez kości, średnio;116;20.9;3.6;0;
Wołowina, mięso z kością, średnio;149;18.6;8.3;0;
Wołowina, polędwica;112;20.1;3.5;0;
Wołowina, pieczeń;116;20.9;3.6;0;
Wołowina, rostbef;152;21.5;7.3;0;
Wołowina, rozbratel;158;16.7;10.1;0;
Wołowina, szponder;218;19.3;15.7;0;
Wódka, średnio;225;0;0;0;
Zarodki pszenne;377;27.5;9.4;45.5;
Ziemniaki;87;1.7;0.1;19.9;
Żeberka wieprzowe;324;15.2;29.3;0;
Żółtko jaja kurzego;355;16.3;31.9;0.7;
Żurawiny;51;0.4;0.1;12.2;
